Pais;Audiciencia[Millones];Poblacion
India;362.9;1450935791
United States;169.65;339996563
Brazil;134.6;214326223
Indonesia;100.9;281190067
Turkey;57.1;86850258
Japan;55.45;123753041
Mexico;44.85;131970773
United Kingdom;33.1;67944026
Germany;30.35;83754822
Argentina;27.85;46084264
Italy;27;58873198
France;25.9;64900625
Spain;23.95;47559982
South Korea;23.4;51717590
Philippines;21.35;117686039
Colombia;20.05;52796516
Canada;19.25;39299105
Thailand;18.75;71801279
Iraq;18.25;46585173
Egypt;18.15;110214157